Index,Year,"Rank Order","Country code",Country or Area,City code,Urban Agglomeration,Note,Latitude,Longitude,Population (millions)
132,1970,12,840,United States of America,22956,Chicago,,41.8500,-87.6501,7.1 057 99 0
133,1970,13,76,Brazil,20272,Rio de Janeiro,,-22.9028,-43.2075,6.7 905 19 0
134,1970,14,392,Japan,204583,Chukyo M.M.A. (Nagoya),,35.1815,136.9064,6.6 033 81 0
135,1970,15,356,India,21206,Mumbai (Bombay),,19.0740,72.8808,6.4 128 76 0
136,1970,16,156,China,20656,Shanghai,5,31.2222,121.4581,6.0 524 68 0
137,1970,17,818,Egypt,22812,Al-Qahirah (Cairo),7,30.0392,31.2394,5.5 845 07 0
138,1970,18,410,Republic of Korea,21758,Seoul,14,37.5683,126.9778,5.3 115 69 0
139,1970,19,156,China,20464,Beijing,11,39.9075,116.3972,4.4 260 45 0
140,1970,20,840,United States of America,23098,Philadelphia,,39.9523,-75.1638,4.3 958 51 0
141,1970,21,392,Japan,204586,Kitakyushu-Fukuoka M.M.A.,,33.6064,130.4181,4.0 716 99 0
142,1970,22,643,Russian Federation,22365,Sankt Peterburg (Saint Petersburg),,59.9299,30.3262,3.9 801 81 0
143,1970,23,840,United States of America,22974,Detroit,,42.3871,-83.1026,3.9 664 83 0
144,1970,24,360,Indonesia,21454,Jakarta,13,-6.2118,106.8416,3.9 154 06 0
145,1970,25,608,Philippines,22109,Manila,15,14.6042,120.9822,3.5 343 09 0
146,1970,26,356,India,21228,Delhi,16,28.6667,77.2167,3.5 306 93 0
147,1970,27,724,Spain,22549,Madrid,,40.4165,-3.7026,3.5 208 61 0
148,1970,28,724,Spain,22525,Barcelona,,41.3888,2.1590,3.4 820 47 0
149,1970,29,344,"China, Hong Kong SAR",21137,Hong Kong,12,22.2796,114.1887,3.3 978 39 0
150,1970,30,156,China,20689,Tianjin,5,39.1088,117.1886,3.3 178 26 0
151,1975,1,392,Japan,21671,Tokyo,1,35.6895,139.6917,26.6 147 33 0
152,1975,2,392,Japan,206459,Kinki M.M.A. (Osaka),3,34.6758,135.5538,16.2 981 24 0
153,1975,3,840,United States of America,23083,New York-Newark,,40.7170,-74.0037,15.8 802 71 0
154,1975,4,484,Mexico,21853,Ciudad de Mexico (Mexico City),6,19.4273,-99.1419,10.7 338 6 0
155,1975,5,76,Brazil,20287,Sao Paulo,,-23.5475,-46.6361,9.6 140 16 0
156,1975,6,32,Argentina,20058,Buenos Aires,4,-34.6051,-58.4004,9.1 432 19 0
157,1975,7,840,United States of America,23052,Los Angeles-Long Beach-Santa Ana,,34.0317,-118.2417,8.9 255 18 0
158,1975,8,250,France,20985,Paris,,48.8534,2.3488,8.5 578 44 0
159,1975,9,356,India,21211,Kolkata (Calcutta),,22.5335,88.3560,8.1 656 29 0
160,1975,10,76,Brazil,20272,Rio de Janeiro,,-22.9028,-43.2075,7.7 334 29 0
161,1975,11,356,India,21206,Mumbai (Bombay),,19.0740,72.8808,7.6 853 46 0
